path,HeLa_Cell2_4x4x4nm/HeLa_Cell2_4x4x4nm_it
setup03,ecs,625000,volumes/raw
setup03,plasma_membrane,650000,volumes/raw
setup25,mito,575000,volumes/raw
setup01,mito_membrane,900000,volumes/raw
setup59,vesicle,675000,volumes/raw
setup01,vesicle_membrane,1075000,volumes/raw
setup03,MVB,925000,volumes/raw
setup03,MVB_membrane,1025000,volumes/raw
setup03,er,625000,volumes/raw
setup03,er_membrane,625000,volumes/raw
setup01,ERES,925000,volumes/raw
setup31,microtubules,1400000,volumes/raw
setup31,microtubules_out,1325000,volumes/raw
setup01,nucleus,600000,volumes/raw
setup01,nucleolus,950000,volumes/raw
setup57,golgi,650000,volumes/raw
setup57,golgi_membrane,650000,volumes/raw
setup01,lysosome,900000,volumes/raw
setup01,lysosome_membrane,900000,volumes/raw
setup01,LD,1175000,volumes/raw
setup01,LD_membrane,625000,volumes/raw
setup01,NE,750000,volumes/raw
setup01,NE_membrane,1150000,volumes/raw
setup01,nuclear_pore,1075000,volumes/raw
setup01,nuclear_pore_out,975000,volumes/raw
setup01,chromatin,600000,volumes/raw
setup01,NHChrom,1200000,volumes/raw
setup01,centrosome,975000,volumes/raw
setup01,distal_app,900000,volumes/raw
setup01,subdistal_app,1075000,volumes/raw
setup56,ribosomes,525000,volumes/raw

